BP;latitud_obs;longitud_obs;direccion;comuna;lat;lon
863987;-33.497.358;-7.075.606;JOAQUIN HUERTA 3328;MAIPÚ;-0,334974;-0,707561
883089;-3.338.676;-70.554.349;MONTE OLIMPO 1495;VITACURA;-0,333868;-0,705543
885722;-33.430.421;-70.600.731;HOLANDA 1265;PROVIDENCIA;-0,334304;-0,706007
923903;-3.337.997;-70.557.948;EL AROMO 7961;VITACURA;-0,333800;-0,705579
927563;-33.598.517;-70.883.682;LARRAIN 2964;PEÑAFLOR;-0,335985;-0,708837
962437;-33.397.168;-7.056.547;OSCAR TENHANN 842;LAS CONDES;-0,333972;-0,705655
964382;-33.421.672;-70.577.296;AV CRISTOBAL COLON 4622;LAS CONDES;-0,334217;-0,705773
966101;-3.344.548;-70.519.771;ALVARO CASANOVA 1068;LA REINA;-0,334455;-0,705198
966214;-33.339.272;-70.671.557;CAMINO DE LA CINTURA 1467;HUECHURABA;-0,333393;-0,706716
967255;-33.401.356;-7.054.612;IRLANDA 734;COLINA;-0,334014;-0,705461
972515;-33.729.265;-70.985.842;CAMINO NALTAHUA 7140;ISLA DE MAIPO;-0,337293;-0,709858
976293;-33.431.267;-70.586.928;AV POCURO 3057;PROVIDENCIA;-0,334313;-0,705869
976376;-33.642.054;-70.857.385;CAMINO LORETO KM.2;TALAGANTE;-0,336421;-0,708574
976758;-3.355.461;-70.549.613;EL FLAMENCO 6448;PUENTE ALTO;-0,335546;-0,705496
976928;-33.408.069;-70.572.191;CARLOS MARTEL 5645;LAS CONDES;-0,334081;-0,705722
977930;-3.335.996;-70.728.008;PASAJE LUIS VIVAR REYES 188;QUILICURA;-0,333600;-0,707280
980216;-33.459.932;-70.599.904;EXEQUIEL FERNANDEZ 576;ÑUÑOA;-0,334599;-0,705999
996240;-33.437.001;-70.572.476;LAS ARAÑAS 5805;LA REINA;-0,334370;-0,705725
1014048;-33.256.929;-70.638.855;AV JOSE RABAT 9960;COLINA;-0,332569;-0,706389
1045094;-33.396.159;-70.562.765;HERMANOS CABOT 6777;LAS CONDES;-0,333962;-0,705628
1067396;-33.520.064;-70.758.844;LOS MOAIS 127;MAIPÚ;-0,335201;-0,707588
1095279;-3.343.227;-70.601.524;EL VERGEL 2432;PROVIDENCIA;-0,334323;-0,706015
1098388;-33.371.375;-70.512.695;LA CABAÑA 62;LAS CONDES;-0,333714;-0,705127
1112721;-33.405.978;-70.578.269;AV ALONSO DE CORDOVA 5079;LAS CONDES;-0,334060;-0,705783
1125869;-332.242;-706.522;CAMINO LOS ESPINOS 4080;COLINA;-3,322420;-7,065220
1127974;-33.433.298;-70.559.005;GOETHE 2294;LA REINA;-0,334333;-0,705590
1132601;-33.384.493;-70.611.341;RINCONADA EL SALTO 879;HUECHURABA;-0,333845;-0,706113
1135374;-33.453.518;-70.601.336;JOSE LUIS ARANEDA 90;ÑUÑOA;-0,334535;-0,706013
1161100;-33.421.896;-70.539.935;VISVIRI 1320;LAS CONDES;-0,334219;-0,705399
1177446;-33.429.762;-70.595.409;AV EL BOSQUE 1080;PROVIDENCIA;-0,334298;-0,705954
1186422;-33.362.197;-70.518.714;EL REBALSE 674;LO BARNECHEA;-0,333622;-0,705187
1186647;-33.378.058;-70.547.606;LA CASCADA 9306;VITACURA;-0,333781;-0,705476
1186703;-33.391.096;-70.561.398;LAS HUALTATAS 7165;VITACURA;-0,333911;-0,705614
1186734;-33.425.004;-70.538.402;AV PADRE HURTADO SUR 1777;LAS CONDES;-0,334250;-0,705384
1186738;-3.339.501;-70.578.114;LUIS CARRERA 1640;VITACURA;-0,333950;-0,705781
1187593;-33.371.452;-70.512.684;LA CABAÑA 62;LAS CONDES;-0,333715;-0,705127
1208867;-3.339.421;-7.055.825;HERMANOS CABOT 7418;LAS CONDES;-0,333942;-0,705583
1209014;-3.328.566;-70.679.898;CONDOMINIO SANTA LUISA DE LOS INGLESES PARCELA 13-J;COLINA;-0,332857;-0,706799
1234975;-33.402.896;-70.555.185;DONATELLO 7420;LAS CONDES;-0,334029;-0,705552
1258294;-33.416.739;-70.555.036;LOS POZOS 7221;LAS CONDES;-0,334167;-0,705550
1272682;-33.456.643;-70.574.462;FRANCISCO DE VILLAGRA 327;ÑUÑOA;-0,334566;-0,705745
1310610;-34.977.979;-71.252.834;CALLE BENASQUE 119;CURICO;-0,349780;-0,712528
1310743;-33.370.136;-70.504.391;SAN JOSE DE LA SIERRA 93;LAS CONDES;-0,333701;-0,705044
1317905;-33.413.416;-70.585.393;AV AMERICO VESPUCIO NORTE 22;LAS CONDES;-0,334134;-0,705854
1318292;-33.448.076;-70.620.697;JULIO PRADO 1646;ÑUÑOA;-0,334481;-0,706207
1325380;-33.354.051;-70.685.515;BERTA CORREA 2010;HUECHURABA;-0,333541;-0,706855
1327662;-33.479.716;-70.560.564;ENSENADA 6910;PEÑALOLEN;-0,334797;-0,705606
1329722;-33.440.048;-70.573.638;AMAPOLAS 5565;ÑUÑOA;-0,334400;-0,705736
1335945;-33.034.852;-71.477.904;CAMINO DEL SOL 2300;QUILPUE;-0,330349;-0,714779
1337579;-33.451.679;-70.602.383;AV RICARDO LYON 3301;ÑUÑOA;-0,334517;-0,706024
1337604;-33.427.572;-70.609.724;EUROPA 2069;PROVIDENCIA;-0,334276;-0,706097
1338006;-33.457.224;-70.606.143;JOSE DOMINGO CAÑAS 2465;ÑUÑOA;-0,334572;-0,706061
1338177;-3.342.649;-70.593.547;LAS ORQUIDEAS 1090;PROVIDENCIA;-0,334265;-0,705935
1338925;-33.331.985;-70.511.933;PARQUE NORTE 12810;LO BARNECHEA;-0,333320;-0,705119
1351411;-33.476.824;-70.597.253;LOS ESPINOS 3365;MACUL;-0,334768;-0,705973
1358956;-33.549.501;-70.768.953;EL SAMARITANO 16826;MAIPÚ;-0,335495;-0,707690
1360972;-33.418.941;-70.581.783;ALBACETE 4420;LAS CONDES;-0,334189;-0,705818
1361495;-33.497.922;-70.528.741;CAMINO LAS PIRCAS 4220;PEÑALOLEN;-0,334979;-0,705287
1366736;-33.588.316;-70.587.931;ARQUITECTO EUGENIO CERDA 636;PUENTE ALTO;-0,335883;-0,705879
1366979;-3.355.289;-70.567.463;SANTA INES 3506;LA FLORIDA;-0,335529;-0,705675
1367688;-32.952.443;-71.544.058;EDMUNDO ELUCHANS 2355;VIÑA DEL MAR;-0,329524;-0,715441
1367723;-33.434.826;-70.607.463;LOS ESTANQUES 2054;PROVIDENCIA;-0,334348;-0,706075
1368741;-33.418.552;-70.566.559;MEDINACELLI 1144;LAS CONDES;-0,334186;-0,705666
1375412;-3.342.434;-70.606.567;SUECIA 415;PROVIDENCIA;-0,334243;-0,706066
1375467;-33.377.277;-70.544.962;LA LLAVERÍA 2096;VITACURA;-0,333773;-0,705450
1375547;-33.683.142;-70.918.059;CAMINO CARAMPANGUE 6103;TALAGANTE;-0,336831;-0,709181
1375894;-33.456.092;-70.613.959;MONSEÑOR EYZAGUIRRE 300;ÑUÑOA;-0,334561;-0,706140
1376231;-33.412.126;-70.539.653;HORIZONTES DE APOQUINDO 676;LAS CONDES;-0,334121;-0,705397
1385921;-33.371.014;-70.513.237;AV LAS CONDES 12810;LO BARNECHEA;-0,333710;-0,705132
1388024;-33.309.881;-7.066.094;AV CHAMISERO 10460;COLINA;-0,333099;-0,706609
1388902;-33.452.874;-70.573.563;HERIBERTO COVARRUBIAS 41;ÑUÑOA;-0,334529;-0,705736
1392692;-33.647.204;-70.842.228;CAMINO LORETO 550;CALERA DE TANGO;-0,336472;-0,708422
1398184;-33.568.007;-70.774.743;AVENIDA EL PARQUE 2417;MAIPÚ;-0,335680;-0,707747
1400816;-33.451.609;-70.595.066;ENRIQUE RICHARD 3344;ÑUÑOA;-0,334516;-0,705951
1401439;-33.599.289;-70.699.121;ESMERALDA 57;SAN BERNARDO;-0,335993;-0,706991
1404986;-33.456.643;-70.574.462;FRANCISCO DE VILLAGRA 327;ÑUÑOA;-0,334566;-0,705745
1405218;-33.330.164;-70.764.184;AV LA MONTAÑA SUR 4149;LAMPA;-0,333302;-0,707642
1409506;-33.436.496;-70.614.753;AV ANTONIO VARAS 999;PROVIDENCIA;-0,334365;-0,706148
1412538;-33.439.823;-70.573.904;ROMEO SALINAS 1529;ÑUÑOA;-0,334398;-0,705739
1419595;-33.478.986;-70.744.148;MONVOISIN 90;MAIPÚ;-0,334790;-0,707441
1431335;-33.375.131;-70.526.395;SAN DAMIAN 149;VITACURA;-0,333751;-0,705264
1436616;-33.732.397;-70.722.776;CLAUDIO BRAVO 251;BUIN;-0,337324;-0,707228
1438153;-33.352.163;-7.050.516;LOS PRADOS 1829;LO BARNECHEA;-0,333522;-0,705052
1442110;-33.746.212;-70.745.874;PARROCO DAMIAN ACUÑA 1331;BUIN;-0,337462;-0,707459
1442823;-33.445.515;-70.613.149;EDUARDO DE LA BARRA 1384;PROVIDENCIA;-0,334455;-0,706131
1442846;-33.442.904;-70.519.094;ALVARO CASANOVA 1453;LA REINA;-0,334429;-0,705191
1442868;-33.401.365;-70.546.104;IRLAND 734;LAS CONDES;-0,334014;-0,705461
1442870;-33.447.163;-70.600.834;AV SUECIA 2970;ÑUÑOA;-0,334472;-0,706008
1456335;-33.429.583;-70.572.642;CARLOS ALVARADO 4755;LAS CONDES;-0,334296;-0,705726
1456587;-3.343.897;-70.644.825;HUERFANOS 547;SANTIAGO;-0,334390;-0,706448
1456634;-33.453.921;-70.556.066;LOS LAURELES 6924;LA REINA;-0,334539;-0,705561
1459546;-33.428.316;-70.613.326;CARLOS ANTUNEZ 1867;PROVIDENCIA;-0,334283;-0,706133
1460958;-3.349.716;-70.575.004;CAMINO EL ALMENDRAL 6015;PEÑALOLEN;-0,334972;-0,705750
1461403;-33.435.814;-70.583.371;DIEGO DE ALMAGRO 4462;ÑUÑOA;-0,334358;-0,705834
1462589;-33.855.774;-70.753.868;LOS AROMOS 125;PAINE;-0,338558;-0,707539
1466000;-33.734.276;-7.071.844;AV VICTOR TRONCOSO MUÑOZ 375;BUIN;-0,337343;-0,707184
1466844;-33.420.298;-70.575.614;AV CRISTOBAL COLON 4781;LAS CONDES;-0,334203;-0,705756
1471676;-33.330.783;-7.051.385;BASEL 788-G;LO BARNECHEA;-0,333308;-0,705139
1471797;-33.406.683;-70.585.933;CERRO COLORADO 4510;LAS CONDES;-0,334067;-0,705859
1471996;-33.432.802;-70.608.299;MAR DEL PLATA 2020;PROVIDENCIA;-0,334328;-0,706083
1478498;-3.340.859;-70.583.692;PRESIDENTE RIESCO 4550;LAS CONDES;-0,334086;-0,705837
1492775;-33.219.121;-70.735.582;LA QUEBRADA 56;COLINA;-0,332191;-0,707356
1493982;-33.419.102;-70.572.787;AV CRISTOBAL COLON 5027;LAS CONDES;-0,334191;-0,705728
1500152;-33.339.904;-70.672.581;CAMINO DE CINTURA 8030;HUECHURABA;-0,333399;-0,706726
1520139;-33.425.532;-70.605.322;CARMEN SYLVA 2331;PROVIDENCIA;-0,334255;-0,706053
1572199;-3.342.878;-70.614.511;CARLOS ANTUNEZ 1867;PROVIDENCIA;-0,334288;-0,706145
1611638;-33.436.491;-70.572.867;LAS ARAÑAS 5805;LA REINA;-0,334365;-0,705729
1640381;-33.441.576;-70.622.432;JULIO PRADO 933;PROVIDENCIA;-0,334416;-0,706224
1659209;-33.365.875;-71.670.642;PACIFICO 640;ALGARROBO;-0,333659;-0,716706
1729367;-33.431.401;-70.587.693;LOS PENSAMIENTOS 1953;PROVIDENCIA;-0,334314;-0,705877
1749057;-32.983.361;-7.153.342;DENEBOLA 4;VIÑA DEL MAR;-0,329834;-0,715334
1942073;-33.375.223;-70.542.991;SANTA MARIA 9500;VITACURA;-0,333752;-0,705430
1963821;-33.405.669;-70.595.953;LAS NIEVES 3435;VITACURA;-0,334057;-0,705960
1974530;-33.271.919;-70.681.642;CONDOMINIO SANTA LUISA DE LOS INGLESES 0;COLINA;-0,332719;-0,706816
1982811;-33.022.171;-70.675.079;HACIENDA CHACABUCO 0;COLINA;-0,330222;-0,706751
1997935;-33.448.255;-70.643.683;SAN ISIDRO 337;SANTIAGO;-0,334483;-0,706437
2000723;-33.360.459;-70.516.999;EL TRANQUE 12797;LO BARNECHEA;-0,333605;-0,705170
2003562;-33.431.312;-70.590.345;AMAPOLAS 1711;PROVIDENCIA;-0,334313;-0,705903
2010635;-33.535.719;-70.570.301;ROJAS MAGALLANES 2085;LA FLORIDA;-0,335357;-0,705703
2031219;-33.497.212;-70.598.489;AV MACUL 4747;MACUL;-0,334972;-0,705985
2085407;-33.387.055;-70.558.432;ISLA FIDJI 7919;VITACURA;-0,333871;-0,705584
2091187;-33.420.105;-70.603.981;HOLANDA 87;PROVIDENCIA;-0,334201;-0,706040
2123372;-33.463.695;-70.624.669;SAN EUGENIO 1209;ÑUÑOA;-0,334637;-0,706247
2129742;-33.371.964;-70.515.232;LAS CONDES 12587;LAS CONDES;-0,333720;-0,705152
2161576;-3.330.013;-70.668.628;EL ALBA 3 PARCELA 34;NAVIDAD;-0,333001;-0,706686
2185283;-33.370.638;-70.503.994;SAN JOSE DE LA SIERRA 93-B;LAS CONDES;-0,333706;-0,705040
2203193;-33.316.392;-70.571.301;CAMINO JUAN PABLO II 7901;LO BARNECHEA;-0,333164;-0,705713
2203286;-33.447.293;-70.530.336;LA ARAUCANA 670;LA REINA;-0,334473;-0,705303
2203293;-33.428.475;-70.591.799;AMAPOLAS 1395;PROVIDENCIA;-0,334285;-0,705918
2208234;-3.348.572;-70.597.522;AV QUILIN 3375;MACUL;-0,334857;-0,705975
2208559;-33.440.918;-70.662.516;HUERFANOS 1820;SANTIAGO;-0,334409;-0,706625
2218022;-33.669.415;-70.842.988;CAMINO INTERIOR LOS ARBOTANTES 5135;TALAGANTE;-0,336694;-0,708430
2218337;-33.445.712;-70.596.793;AV JAIME GUZMAN ERRAZURIZ 3173;ÑUÑOA;-0,334457;-0,705968
2218341;-33.037.052;-7.156.617;SOL Y MAR 535;VIÑA DEL MAR;-0,330371;-0,715662
2221404;-33.369.262;-70.506.864;SHIMON PERES 71;LO BARNECHEA;-0,333693;-0,705069
2262494;-3.300.462;-71.541.604;CALLE OCHO 2280;VIÑA DEL MAR;-0,330046;-0,715416
2265163;-33.412.645;-7.058.836;HAMLET 4145;LAS CONDES;-0,334126;-0,705884
2265214;-3.343.334;-70.610.511;MAR DEL PLATA 1930;PROVIDENCIA;-0,334333;-0,706105
2268348;-33.600.523;-70.864.233;LOS ALERCES 55;PEÑAFLOR;-0,336005;-0,708642
2271394;-33.325.809;-7.050.122;ULSTER 145;LO BARNECHEA;-0,333258;-0,705012
2277172;-33.452.834;-70.595.478;GERONA 3402;ÑUÑOA;-0,334528;-0,705955
2281148;-33.211.848;-70.727.389;AV SANTA ELENA 278-C;COLINA;-0,332118;-0,707274
2281164;-33.248.669;-70.780.166;LOS COMENDADORES 44;LAMPA;-0,332487;-0,707802
2282894;-33.377.281;-70.544.911;LA LLAVERIA 2096;VITACURA;-0,333773;-0,705449
2284311;-33.349.507;-70.674.063;CAMINO DEL ROBLE 1484;HUECHURABA;-0,333495;-0,706741
2284694;-33.475.894;-70.553.781;ANTUPIREN 7443;PEÑALOLEN;-0,334759;-0,705538
2284817;-33.419.693;-70.604.904;AV PROVIDENCIA 2457;PROVIDENCIA;-0,334197;-0,706049
2286836;-332.148;-7.073.582;LOS PASTOS 28;COLINA;-3,321480;-0,707358
2296436;-33.486.637;-70.597.817;ARMANDO MOOCK 3595;MACUL;-0,334866;-0,705978
2299648;-33.431.432;-7.059.351;LA BRABANZON 2838;PROVIDENCIA;-0,334314;-0,705935
2306913;-33.255.631;-70.637.427;JOSE RABAT 10670;COLINA;-0,332556;-0,706374
2307247;-33.405.615;-70.559.869;LAS CLARISAS 20;LAS CONDES;-0,334056;-0,705599
2310762;-33.330.425;-70.518.279;BERNA 4596;LO BARNECHEA;-0,333304;-0,705183
2311134;-33.021.334;-7.155.314;2 NORTE 550;VIÑA DEL MAR;-0,330213;-0,715531
2312191;-33.531.866;-70.584.173;ALONSO DE ERCILLA 8624;LA FLORIDA;-0,335319;-0,705842
2316139;-33.630.734;-70.818.594;BRISAS DEL NORTE I-5;CALERA DE TANGO;-0,336307;-0,708186
2316170;-33.431.655;-70.639.553;BOMBERO NUÑEZ 205;RECOLETA;-0,334317;-0,706396
2316173;-33.221.091;-70.683.059;EL POTRERILLO 185;COLINA;-0,332211;-0,706831
2316228;-33.444.405;-70.577.569;PUCARA 5120;ÑUÑOA;-0,334444;-0,705776
2323996;-33.377.295;-70.524.765;SAN DAMIAN 120;LAS CONDES;-0,333773;-0,705248
2324022;-3.343.629;-70.654.181;MORANDE 617;SANTIAGO;-0,334363;-0,706542
2324037;-33.444.472;-70.578.291;PUCARA 5050;ÑUÑOA;-0,334445;-0,705783
2341285;-33.278.364;-70.685.719;AV CHICUREO 1200;COLINA;-0,332784;-0,706857
2344826;-33.432.247;-7.060.228;AV LOS LEONES 1425;PROVIDENCIA;-0,334322;-0,706023
2344831;-33.428.791;-7.057.659;LATADIA 4322;LAS CONDES;-0,334288;-0,705766
2346925;-33.321.368;-70.677.917;LA AGATA 10423;COLINA;-0,333214;-0,706779
2349067;-33.541.734;-70.567.653;SANTA INES 1627;LA FLORIDA;-0,335417;-0,705677
2349099;-33.453.594;-70.576.215;HAMBURGO 70;ÑUÑOA;-0,334536;-0,705762
2349130;-33.308.102;-70.669.711;PASAJE SIERRA DE LA ESTRELLA 11546;COLINA;-0,333081;-0,706697
2354898;-32.975.395;-71.538.903;TALASIA 391;VIÑA DEL MAR;-0,329754;-0,715389
2356728;-33.517.909;-70.656.928;JOSE URETA 180;LA CISTERNA;-0,335179;-0,706569
2357026;-32.833.203;-70.688.871;CAMINO DEL CERRO 101;RINCONADA;-0,328332;-0,706889
2358972;-33.439.104;-70.667.088;CATEDRAL 2202;SANTIAGO;-0,334391;-0,706671
2360464;-33.503.717;-70.751.224;LUIS GANDARILLAS 480;MAIPÚ;-0,335037;-0,707512
2361605;-33.454.452;-706.666;TOESCA 2246;SANTIAGO;-0,334545;-7,066660
2361648;-33.373.904;-70.524.909;CAMINO EL PARQUE 100;VITACURA;-0,333739;-0,705249
2362257;-33.526.594;-70.569.847;LAS LOMAS 7868;LA FLORIDA;-0,335266;-0,705698
2363010;-3.345.013;-70.603.019;AV SIMON BOLIVAR 2641;ÑUÑOA;-0,334501;-0,706030
2364960;-3.283.137;-70.617.543;ESMERALDA 1995;LOS ANDES;-0,328314;-0,706175
2365188;-33.755.505;-70.745.275;GERMAN SANDOVAL MIRANDA 839;BUIN;-0,337555;-0,707453
2373794;-33.410.702;-70.576.354;LA GLORIA 34;LAS CONDES;-0,334107;-0,705764
2375946;-33.453.534;-70.576.224;HAMBURGO 70;ÑUÑOA;-0,334535;-0,705762
2376041;-33.307.721;-7.065.761;CAMINO DEL REFUGIO 13496;COLINA;-0,333077;-0,706576
2378079;-33.455.452;-70.583.451;ALCALDE JORGE MONCKEBERG 35;ÑUÑOA;-0,334555;-0,705835
2383956;-3.342.061;-70.563.193;ARQUERIA 1247;LAS CONDES;-0,334206;-0,705632
2393013;-33.390.527;-70.541.223;AVENIDAS LAS CONDES 9315;LAS CONDES;-0,333905;-0,705412
2395996;-33.384.117;-70.569.879;JUAN XXIII 6580;VITACURA;-0,333841;-0,705699
2396008;-33.514.484;-70.530.672;CAMINO DEL PAISAJE 6747;LA FLORIDA;-0,335145;-0,705307
2396019;-33.440.574;-70.552.617;VICENTE PEREZ ROSALES 1364;LA REINA;-0,334406;-0,705526
2396021;-33.277.752;-7.063.546;LAS AGUILAS 16;COLINA;-0,332778;-0,706355
2396534;-33.449.665;-70.641.242;SANTA ISABEL 489;SANTIAGO;-0,334497;-0,706412
2396558;-3.341.649;-70.583.972;AV AMERICO VESPUCIO SUR 221;LAS CONDES;-0,334165;-0,705840
2398656;-33.498.694;-7.053.658;JUAN DE DIOS VIAL CORREA 4400;PEÑALOLEN;-0,334987;-0,705366
2409667;-33.211.917;-70.727.436;SANTA ELENA 278;COLINA;-0,332119;-0,707274
2414341;-33.442.284;-7.061.765;JOSE MIGUEL CLARO 1454;PROVIDENCIA;-0,334423;-0,706177
2419318;-33.339.272;-70.671.557;CAMINO DE LA CINTURA 1467;HUECHURABA;-0,333393;-0,706716
2419415;-33.451.697;-70.756.621;DIAGONAL TRAVESIA 584;PUDAHUEL;-0,334517;-0,707566
2420791;-33.420.338;-70.548.025;HUESCA 7921;LAS CONDES;-0,334203;-0,705480
2431967;-33.447.964;-70.610.874;AV ANTONIO VARAS 2255;ÑUÑOA;-0,334480;-0,706109
2435563;-33.406.139;-70.544.254;AUGUSTA GERONA 1530;LAS CONDES;-0,334061;-0,705443
2448260;-33.403.029;-70.557.341;LOS BARBECHOS 100;LAS CONDES;-0,334030;-0,705573
2449031;-33.480.874;-70.651.432;RICARDO MORALES 2960;SAN MIGUEL;-0,334809;-0,706514
2450447;-33.447.474;-70.573.759;HERIBERTO COVARRUBIAS 679;ÑUÑOA;-0,334475;-0,705738
2450493;-33.426.132;-70.614.517;AV PROVIDENCIA 1765;PROVIDENCIA;-0,334261;-0,706145
2450890;-33.503.709;-70.545.244;CERRO JUNCAL ORIENTE 8981;PEÑALOLEN;-0,335037;-0,705452
2453297;-32.940.638;-71.524.776;LOMAS DE MONTEMAR 526-C;CON CON;-0,329406;-0,715248
2453583;-33.359.728;-70.521.879;EL TRANQUE 12352;LO BARNECHEA;-0,333597;-0,705219
2454090;-33.227.033;-70.681.118;AV RUKAN 214;COLINA;-0,332270;-0,706811
2462314;-33.368.483;-70.509.771;DAVID BENGURION 241;LO BARNECHEA;-0,333685;-0,705098
2463492;-33.458.773;-70.576.129;LOS ALIAGA 557;ÑUÑOA;-0,334588;-0,705761
2468344;-33.415.022;-70.602.829;HELVECIA 240;LAS CONDES;-0,334150;-0,706028
2477147;-33.441.816;-70.533.233;LAS PERDICES 1303;LA REINA;-0,334418;-0,705332
2490609;-33.448.532;-70.618.846;RENGO 1001;ÑUÑOA;-0,334485;-0,706188
2493272;-33.420.553;-70.606.792;PASEO MARDOQUEO FERNANDEZ 15;PROVIDENCIA;-0,334206;-0,706068
2493382;-33.415.596;-70.587.126;MALAGA 79;LAS CONDES;-0,334156;-0,705871
2493396;-33.432.942;-70.612.267;FEDERICO FROEBEL 1810;PROVIDENCIA;-0,334329;-0,706123
2493432;-33.422.025;-70.577.059;CRISTOBAL COLON 4622;LAS CONDES;-0,334220;-0,705771
2494026;-33.369.137;-70.504.677;SAN JOSE DE LA SIERRA 23;LO BARNECHEA;-0,333691;-0,705047
2495960;-33.427.372;-705.477;DUQUECO 1814;LAS CONDES;-0,334274;-7,054770
2496260;-33.525.433;-70.587.978;INES DE SUAREZ 7733;LA FLORIDA;-0,335254;-0,705880
2497131;-33.210.071;-70.726.522;SANTA ELENA 570;COLINA;-0,332101;-0,707265
2497716;-33.376.654;-70.548.379;DEL MIRADOR 2255;VITACURA;-0,333767;-0,705484
2504750;-33.688.617;-70.904.941;CAMINO CARAMPANGUE 175;TALAGANTE;-0,336886;-0,709049
2511027;-33.594.916;-70.851.426;ALCALDE JOSE DEL VALLE 2621;PEÑAFLOR;-0,335949;-0,708514
2511916;-33.296.198;-70.875.627;LOS LOTOS ORIENTES 2411;LAMPA;-0,332962;-0,708756
2512248;-33.404.057;-70.564.515;JUTLANDIA 456;LAS CONDES;-0,334041;-0,705645
2512740;-3.325.112;-7.062.373;JOSE RABAT 11860;COLINA;-0,332511;-0,706237
2515129;-3.416.048;-70.669.078;CAMINO COMUNIDAD BRAVO 80;MACHALI;-0,341605;-0,706691
2524431;-32.947.845;-71.542.615;AV BOSQUES DE MONTEMAR 460;CON CON;-0,329478;-0,715426
2527004;-33.363.251;-70.490.945;LA DISPUTADA 15382;LO BARNECHEA;-0,333633;-0,704909
2530675;-33.220.185;-7.070.558;CAMINO SANTA ESTER 0;COLINA;-0,332202;-0,707056
2530718;-33.478.811;-70.598.896;AV MACUL 2648;MACUL;-0,334788;-0,705989
2530720;-33.440.352;-70.566.904;RAMON LAVAL 1470;LA REINA;-0,334404;-0,705669
2546893;-334.503;-70.767.129;AV SERRANO 538;PUDAHUEL;-3,345030;-0,707671
2552061;-33.455.542;-70.611.757;CARMEN COVARRUBIAS 247;ÑUÑOA;-0,334555;-0,706118
2552081;-33.459.672;-70.598.118;JOSE PEDRO ALESSANDRI 557;ÑUÑOA;-0,334597;-0,705981
2559264;-3.345.675;-70.573.129;NUNCIO LAGHI 5600;ÑUÑOA;-0,334568;-0,705731
2560675;-3.339.549;-70.549.986;LAS VERBENAS 8545;LAS CONDES;-0,333955;-0,705500
2564434;-33.397.659;-7.057.562;CARDENAL BELARMINO 1200;VITACURA;-0,333977;-0,705756
2567805;-33.201.583;-70.654.106;EL MOLINO 70;COLINA;-0,332016;-0,706541
2567808;-33.371.771;-70.514.739;AV LAS CONDES 12631;LAS CONDES;-0,333718;-0,705147
2567810;-33.405.884;-7.055.761;CAROL URZÚA 7040;LAS CONDES;-0,334059;-0,705576
2569528;-33.438.228;-70.570.871;LORELEY 1736;LA REINA;-0,334382;-0,705709
2569533;-33.516.197;-70.531.801;CAMINO DEL PAISAJE 6775;LA FLORIDA;-0,335162;-0,705318
2572543;-33.423.863;-70.575.572;VASCO DE GAMA 4610;LAS CONDES;-0,334239;-0,705756
2581061;-33.441.881;-70.542.376;AVENIDA ECHEÑIQUE 8600;LA REINA;-0,334419;-0,705424
2581066;-33.365.195;-71.666.352;LOS ACACIOS 2007;ALGARROBO;-0,333652;-0,716664
2581078;-33.365.195;-71.666.352;LOS ACACIOS 2007;ALGARROBO;-0,333652;-0,716664
2583858;-33.458.773;-70.576.129;LOS ALIAGA 557;ÑUÑOA;-0,334588;-0,705761
2588085;-33.347.693;-7.067.154;ALTOS DEL CARMEN 1520;HUECHURABA;-0,333477;-0,706715
2596211;-3.353.543;-70.569.659;ROJAS MAGALLANES 2312;LA FLORIDA;-0,335354;-0,705697
2606171;-33.393.508;-70.556.553;REINA ASTRID 950;LAS CONDES;-0,333935;-0,705566
2606229;-3.341.878;-70.520.103;CAMINO GRAN VISTA 11851;LAS CONDES;-0,334188;-0,705201
2606639;-3.345.901;-70.598.963;ALCALDE EDUARDO CASTILLO VELASCO 3100;ÑUÑOA;-0,334590;-0,705990
2616086;-33.249.464;-70.625.911;JOSE RABAT GORCHS 11860;COLINA;-0,332495;-0,706259
2617686;-3.328.428;-7.069.449;CALLE SAN PEDRO 1980;COLINA;-0,332843;-0,706945
2617701;-33.439.844;-70.567.541;REINA VICTORIA 6258;LA REINA;-0,334398;-0,705675
2617750;-33.449.505;-70.638.777;LIRA 526;SANTIAGO;-0,334495;-0,706388
2617993;-33.434.788;-70.605.916;AUSTRIA 2086;PROVIDENCIA;-0,334348;-0,706059
2627634;-33.443.125;-70.555.959;ECHEÑIQUE 7306;LA REINA;-0,334431;-0,705560
2627636;-335.081;-70.652.765;VARGAS BUSTON 976;SAN MIGUEL;-3,350810;-0,706528
2628600;-33.397.681;-70.558.422;GARCIA PICA 7282;LAS CONDES;-0,333977;-0,705584
2638227;-33.408.011;-70.548.803;AV APOQUINDO 7850;LAS CONDES;-0,334080;-0,705488
2638466;-33.483.339;-70.743.472;PROVIDENCIA 224;MAIPÚ;-0,334833;-0,707435
2639200;-3.342.112;-7.057.989;SORIA 889;LAS CONDES;-0,334211;-0,705799
2639365;-33.399.283;-70.553.416;LAS VERBENAS 7977;LAS CONDES;-0,333993;-0,705534
2651211;-33.450.385;-7.059.388;JORGE WASHINGTON 535;ÑUÑOA;-0,334504;-0,705939
2653224;-33.371.014;-70.513.237;AV LAS CONDES 12810;LO BARNECHEA;-0,333710;-0,705132
